Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,Measure,Type,State Name,Region,Start Date,End Date,Response Rate (%)
07_2015,WI,H_COMP_2,3,13,84,Communication with Doctors,Composite Measure,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_COMP_3,5,22,73,Responsiveness of Hospital Staff,Composite Measure,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_COMP_5,13,18,69,Communication about Medicines,Composite Measure,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_COMP_6,10,0,90,Discharge Information,Composite Measure,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_COMP_7,4,40,56,Care Transition,Composite Measure,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_HSP_RATING,5,19,76,Overall Hospital Rating,Global Item,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_QUIET_HSP,7,28,65,Quietness of Hospital Environment,Individual Item,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WI,H_RECMND,3,22,75,Willingness to Recommend the Hospital,Global Item,Wisconsin,East North Central,2013-10-01,2014-09-30,39.12931034482759
07_2015,WV,H_CLEAN_HSP,8,18,74,Cleanliness of Hospital Environment,Individual Item,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_1,5,16,79,Communication with Nurses,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_2,4,14,82,Communication with Doctors,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_3,9,23,68,Responsiveness of Hospital Staff,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_5,18,18,64,Communication about Medicines,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_6,13,0,87,Discharge Information,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_COMP_7,5,45,50,Care Transition,Composite Measure,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_HSP_RATING,9,24,67,Overall Hospital Rating,Global Item,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_QUIET_HSP,10,31,59,Quietness of Hospital Environment,Individual Item,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WV,H_RECMND,6,28,66,Willingness to Recommend the Hospital,Global Item,West Virginia,South Atlantic,2013-10-01,2014-09-30,29.954545454545453
07_2015,WY,H_CLEAN_HSP,7,20,73,Cleanliness of Hospital Environment,Individual Item,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_1,4,17,79,Communication with Nurses,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_2,4,14,82,Communication with Doctors,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_3,6,22,72,Responsiveness of Hospital Staff,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_5,15,16,69,Communication about Medicines,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_6,11,0,89,Discharge Information,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_COMP_7,5,43,52,Care Transition,Composite Measure,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_HSP_RATING,9,24,67,Overall Hospital Rating,Global Item,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_QUIET_HSP,7,32,61,Quietness of Hospital Environment,Individual Item,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2015,WY,H_RECMND,5,29,66,Willingness to Recommend the Hospital,Global Item,Wyoming,Mountain,2013-10-01,2014-09-30,31.09090909090909
07_2016,AK,H_CLEAN_HSP,7,21,72,Cleanliness of Hospital Environment,Individual Item,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_1,4,18,78,Communication with Nurses,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_2,3,15,82,Communication with Doctors,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_3,6,21,73,Responsiveness of Hospital Staff,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_5,14,23,63,Communication about Medicines,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_6,9,0,91,Discharge Information,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_COMP_7,5,43,52,Care Transition,Composite Measure,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_HSP_RATING,7,24,69,Overall Hospital Rating,Global Item,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_QUIET_HSP,8,34,58,Quietness of Hospital Environment,Individual Item,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AK,H_RECMND,4,27,69,Willingness to Recommend the Hospital,Global Item,Alaska,Pacific,2014-10-01,2015-09-30,25.933333333333334
07_2016,AL,H_CLEAN_HSP,10,18,72,Cleanliness of Hospital Environment,Individual Item,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_1,5,14,81,Communication with Nurses,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_2,3,11,86,Communication with Doctors,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_3,10,21,69,Responsiveness of Hospital Staff,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_5,19,15,66,Communication about Medicines,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_6,14,0,86,Discharge Information,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_COMP_7,6,43,51,Care Transition,Composite Measure,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_HSP_RATING,7,21,72,Overall Hospital Rating,Global Item,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_QUIET_HSP,6,22,72,Quietness of Hospital Environment,Individual Item,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AL,H_RECMND,5,24,71,Willingness to Recommend the Hospital,Global Item,Alabama,East South Central,2014-10-01,2015-09-30,29.313953488372093
07_2016,AR,H_CLEAN_HSP,9,17,74,Cleanliness of Hospital Environment,Individual Item,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_1,4,16,80,Communication with Nurses,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_2,4,11,85,Communication with Doctors,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_3,9,22,69,Responsiveness of Hospital Staff,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_5,18,17,65,Communication about Medicines,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_6,16,0,84,Discharge Information,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_COMP_7,6,43,51,Care Transition,Composite Measure,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_HSP_RATING,8,20,72,Overall Hospital Rating,Global Item,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_QUIET_HSP,7,26,67,Quietness of Hospital Environment,Individual Item,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AR,H_RECMND,5,25,70,Willingness to Recommend the Hospital,Global Item,Arkansas,West South Central,2014-10-01,2015-09-30,28.102941176470587
07_2016,AZ,H_CLEAN_HSP,10,20,70,Cleanliness of Hospital Environment,Individual Item,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_1,5,18,77,Communication with Nurses,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_2,5,18,77,Communication with Doctors,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_3,9,25,66,Responsiveness of Hospital Staff,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_5,18,18,64,Communication about Medicines,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_COMP_7,7,43,50,Care Transition,Composite Measure,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_HSP_RATING,9,21,70,Overall Hospital Rating,Global Item,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_QUIET_HSP,11,31,58,Quietness of Hospital Environment,Individual Item,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,AZ,H_RECMND,6,24,70,Willingness to Recommend the Hospital,Global Item,Arizona,Mountain,2014-10-01,2015-09-30,31.914285714285715
07_2016,CA,H_CLEAN_HSP,10,20,70,Cleanliness of Hospital Environment,Individual Item,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_1,6,19,75,Communication with Nurses,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_2,6,16,78,Communication with Doctors,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_3,12,26,62,Responsiveness of Hospital Staff,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_5,20,19,61,Communication about Medicines,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_6,15,0,85,Discharge Information,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_COMP_7,7,45,48,Care Transition,Composite Measure,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_HSP_RATING,10,22,68,Overall Hospital Rating,Global Item,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_QUIET_HSP,16,33,51,Quietness of Hospital Environment,Individual Item,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CA,H_RECMND,7,24,69,Willingness to Recommend the Hospital,Global Item,California,Pacific,2014-10-01,2015-09-30,25.654952076677315
07_2016,CO,H_CLEAN_HSP,7,18,75,Cleanliness of Hospital Environment,Individual Item,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_1,3,17,80,Communication with Nurses,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_2,3,15,82,Communication with Doctors,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_3,7,23,70,Responsiveness of Hospital Staff,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_5,15,18,67,Communication about Medicines,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_COMP_7,5,40,55,Care Transition,Composite Measure,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_HSP_RATING,6,19,75,Overall Hospital Rating,Global Item,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_QUIET_HSP,6,29,65,Quietness of Hospital Environment,Individual Item,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CO,H_RECMND,4,21,75,Willingness to Recommend the Hospital,Global Item,Colorado,Mountain,2014-10-01,2015-09-30,30.123076923076923
07_2016,CT,H_CLEAN_HSP,9,20,71,Cleanliness of Hospital Environment,Individual Item,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_1,4,16,80,Communication with Nurses,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_2,5,16,79,Communication with Doctors,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_3,10,26,64,Responsiveness of Hospital Staff,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_5,19,18,63,Communication about Medicines,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_COMP_7,5,44,51,Care Transition,Composite Measure,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_HSP_RATING,9,24,67,Overall Hospital Rating,Global Item,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_QUIET_HSP,15,33,52,Quietness of Hospital Environment,Individual Item,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,CT,H_RECMND,5,25,70,Willingness to Recommend the Hospital,Global Item,Connecticut,New England,2014-10-01,2015-09-30,27.24137931034483
07_2016,DC,H_CLEAN_HSP,17,22,61,Cleanliness of Hospital Environment,Individual Item,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_1,10,20,70,Communication with Nurses,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_2,6,17,77,Communication with Doctors,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_3,19,29,52,Responsiveness of Hospital Staff,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_5,26,19,55,Communication about Medicines,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_6,19,0,81,Discharge Information,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_COMP_7,9,49,42,Care Transition,Composite Measure,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_HSP_RATING,14,28,58,Overall Hospital Rating,Global Item,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_QUIET_HSP,16,30,54,Quietness of Hospital Environment,Individual Item,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DC,H_RECMND,10,30,60,Willingness to Recommend the Hospital,Global Item,District of Columbia,South Atlantic,2014-10-01,2015-09-30,24.285714285714285
07_2016,DE,H_CLEAN_HSP,9,21,70,Cleanliness of Hospital Environment,Individual Item,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_1,4,16,80,Communication with Nurses,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_2,5,16,79,Communication with Doctors,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_3,8,24,68,Responsiveness of Hospital Staff,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_5,20,16,64,Communication about Medicines,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_COMP_7,5,43,52,Care Transition,Composite Measure,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_HSP_RATING,9,21,70,Overall Hospital Rating,Global Item,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_QUIET_HSP,11,33,56,Quietness of Hospital Environment,Individual Item,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,DE,H_RECMND,5,26,69,Willingness to Recommend the Hospital,Global Item,Delaware,South Atlantic,2014-10-01,2015-09-30,26.5
07_2016,FL,H_CLEAN_HSP,11,20,69,Cleanliness of Hospital Environment,Individual Item,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_1,6,18,76,Communication with Nurses,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_2,6,16,78,Communication with Doctors,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_3,12,25,63,Responsiveness of Hospital Staff,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_5,21,17,62,Communication about Medicines,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_6,16,0,84,Discharge Information,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_COMP_7,7,44,49,Care Transition,Composite Measure,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_HSP_RATING,10,22,68,Overall Hospital Rating,Global Item,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_QUIET_HSP,11,30,59,Quietness of Hospital Environment,Individual Item,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,FL,H_RECMND,7,24,69,Willingness to Recommend the Hospital,Global Item,Florida,South Atlantic,2014-10-01,2015-09-30,26.582857142857144
07_2016,GA,H_CLEAN_HSP,10,18,72,Cleanliness of Hospital Environment,Individual Item,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_1,5,16,79,Communication with Nurses,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_2,5,12,83,Communication with Doctors,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_3,10,23,67,Responsiveness of Hospital Staff,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_5,20,16,64,Communication about Medicines,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_6,15,0,85,Discharge Information,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_COMP_7,6,43,51,Care Transition,Composite Measure,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_HSP_RATING,8,21,71,Overall Hospital Rating,Global Item,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_QUIET_HSP,7,25,68,Quietness of Hospital Environment,Individual Item,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,GA,H_RECMND,5,25,70,Willingness to Recommend the Hospital,Global Item,Georgia,South Atlantic,2014-10-01,2015-09-30,24.572649572649574
07_2016,HI,H_CLEAN_HSP,5,19,76,Cleanliness of Hospital Environment,Individual Item,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_1,4,15,81,Communication with Nurses,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_2,4,14,82,Communication with Doctors,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_3,8,22,70,Responsiveness of Hospital Staff,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_5,17,17,66,Communication about Medicines,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_6,17,0,83,Discharge Information,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_COMP_7,5,41,54,Care Transition,Composite Measure,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_HSP_RATING,7,23,70,Overall Hospital Rating,Global Item,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_QUIET_HSP,10,30,60,Quietness of Hospital Environment,Individual Item,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,HI,H_RECMND,4,23,73,Willingness to Recommend the Hospital,Global Item,Hawaii,Pacific,2014-10-01,2015-09-30,28.533333333333335
07_2016,IA,H_CLEAN_HSP,5,16,79,Cleanliness of Hospital Environment,Individual Item,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_1,2,16,82,Communication with Nurses,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_2,3,13,84,Communication with Doctors,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_3,5,23,72,Responsiveness of Hospital Staff,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_5,14,19,67,Communication about Medicines,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_COMP_7,3,41,56,Care Transition,Composite Measure,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_HSP_RATING,5,19,76,Overall Hospital Rating,Global Item,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_QUIET_HSP,6,28,66,Quietness of Hospital Environment,Individual Item,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,IA,H_RECMND,3,23,74,Willingness to Recommend the Hospital,Global Item,Iowa,West North Central,2014-10-01,2015-09-30,35.30681818181818
07_2016,ID,H_CLEAN_HSP,6,16,78,Cleanliness of Hospital Environment,Individual Item,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_1,3,16,81,Communication with Nurses,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_2,3,13,84,Communication with Doctors,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_3,5,20,75,Responsiveness of Hospital Staff,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_5,14,17,69,Communication about Medicines,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_6,11,0,89,Discharge Information,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_COMP_7,4,40,56,Care Transition,Composite Measure,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_HSP_RATING,5,21,74,Overall Hospital Rating,Global Item,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_QUIET_HSP,7,30,63,Quietness of Hospital Environment,Individual Item,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,ID,H_RECMND,3,24,73,Willingness to Recommend the Hospital,Global Item,Idaho,Mountain,2014-10-01,2015-09-30,33.15384615384615
07_2016,IL,H_CLEAN_HSP,8,17,75,Cleanliness of Hospital Environment,Individual Item,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_1,4,16,80,Communication with Nurses,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_2,4,15,81,Communication with Doctors,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_3,9,23,68,Responsiveness of Hospital Staff,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_5,18,17,65,Communication about Medicines,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_COMP_7,5,43,52,Care Transition,Composite Measure,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_HSP_RATING,7,22,71,Overall Hospital Rating,Global Item,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_QUIET_HSP,9,30,61,Quietness of Hospital Environment,Individual Item,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IL,H_RECMND,5,24,71,Willingness to Recommend the Hospital,Global Item,Illinois,East North Central,2014-10-01,2015-09-30,28.85207100591716
07_2016,IN,H_CLEAN_HSP,7,17,76,Cleanliness of Hospital Environment,Individual Item,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_1,3,15,82,Communication with Nurses,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_2,3,15,82,Communication with Doctors,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_3,6,23,71,Responsiveness of Hospital Staff,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_5,17,18,65,Communication about Medicines,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_6,12,0,88,Discharge Information,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_COMP_7,5,40,55,Care Transition,Composite Measure,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_HSP_RATING,6,19,75,Overall Hospital Rating,Global Item,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_QUIET_HSP,8,30,62,Quietness of Hospital Environment,Individual Item,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,IN,H_RECMND,4,23,73,Willingness to Recommend the Hospital,Global Item,Indiana,East North Central,2014-10-01,2015-09-30,30.786324786324787
07_2016,KS,H_CLEAN_HSP,6,17,77,Cleanliness of Hospital Environment,Individual Item,Kansas,West North Central,2014-10-01,2015-09-30,34.62162162162162
07_2016,KS,H_COMP_1,3,15,82,Communication with Nurses,Composite Measure,Kansas,West North Central,2014-10-01,2015-09-30,34.62162162162162
07_2016,KS,H_COMP_2,3,12,85,Communication with Doctors,Composite Measure,Kansas,West North Central,2014-10-01,2015-09-30,34.62162162162162
